loanId;startDate;requiredReturnDate;actualReturnDate;fine;hasRequest;email;barCode
415510;2018-11-19;2018-12-01;2018-12-06;25.0;false;isaac.kovacek60@gmail.com;1-308-461-515-4
892066;2020-02-13;2020-03-30;1969-12-31;0.0;false;hyon.schuppe95@gmail.com;4-233-186-362-4
279097;2019-06-30;2019-07-25;2019-07-06;0.0;false;stefanie.glover92@outlook.com;7-036-190-899-6
342993;2020-02-01;2020-03-29;1969-12-31;0.0;true;franchesca.cormier92@gmail.com;8-659-702-075-2
214333;2020-02-21;2020-02-28;1969-12-31;0.0;false;louis.ullrich68@icloud.com;8-619-670-801-1
223827;2017-11-04;2017-12-17;2018-01-01;70.0;false;lauran.schroeder25@mail.com;3-386-006-026-7
112493;2018-06-08;2018-06-20;2018-06-17;0.0;true;isaac.kovacek60@gmail.com;1-962-473-990-0
770673;2020-02-06;2020-02-08;2020-02-08;0.0;false;demetrius.kutch10@outlook.com;6-972-770-194-9
114414;2019-06-23;2019-06-24;2019-06-23;0.0;true;laureen.nikolaus58@outlook.com;1-308-461-515-4
386790;2017-06-26;2017-07-27;2017-07-01;0.0;true;louis.ullrich68@icloud.com;9-888-345-985-7
600332;2018-08-28;2018-09-17;2018-09-22;20.0;false;aaron.nicolas08@outlook.com;2-091-591-358-8
808836;2020-02-20;2020-04-02;1969-12-31;0.0;false;laurence.hackett73@outlook.com;7-068-105-301-6
176532;2020-02-01;2020-02-22;2020-02-06;0.0;false;billie.purdy63@icloud.com;3-312-651-426-2
666875;2020-02-05;2020-03-27;1969-12-31;0.0;false;trenton.kautzer84@mail.com;5-975-713-484-1
487223;2020-02-19;2020-04-16;1969-12-31;0.0;false;eli.dubuque77@gmail.com;2-395-330-275-4
783579;2016-06-14;2016-07-24;2016-06-19;0.0;false;rusty.dicki17@mail.com;5-595-929-034-9
572974;2020-02-04;2020-03-31;1969-12-31;0.0;false;kieth.daugherty88@mail.com;3-386-006-026-7
561945;2020-02-02;2020-03-30;1969-12-31;0.0;false;shannon.bartoletti86@outlook.com;7-217-166-368-6
