email;uName;phoneNumber;uAddress;workingDays;iName;lName
lacy.wyman83@outlook.com;Lacy Wyman;1-276-431-7247;01669 VonRueden Flats Suite 260, Montreal, QC, H7X8Q3;MR;Corwin College;Rubens Library
otha.kunze64@gmail.com;Otha Kunze;292-710-0326;699 Wes Path Suite 499, Montreal, QC, H8G3T4;MTWF;Fisher College;Diego Rivera Library
preston.bogisich67@icloud.com;Preston Bogisich;1-396-154-7055;906 Daniel Alley Apt. 118, Montreal, QC, H9X0A5;M;Corwin University;Pissarro Library
eldon.orn00@outlook.com;Eldon Orn;309-993-1152;0429 Gus Springs Suite 539, Montreal, QC, H8M3K7;MF;Eastern Brown;Ansel Adams Library
tom.dicki15@gmail.com;Tom Dicki;564-975-6266;1313 Sue Brooks Apt. 953, Montreal, QC, H6C5M9;TWF;Southern Senger College;Donatello Library
estrella.padberg31@outlook.com;Estrella Padberg;209-829-0670;880 Rohan Ranch Suite 128, Montreal, QC, H8S0F0;MTWR;Eastern Brown;Durer Library
theodore.watsica81@gmail.com;Theodore Watsica;831-589-4227;47810 Britt Manors Apt. 469, Montreal, QC, H9X2H4;W;West Legros;Warhol Library
lecia.dare02@outlook.com;Lecia Dare;666-453-7451;3142 Bayer Curve Apt. 770, Montreal, QC, H8Q2H0;TWRF;Eastern Brown;Ansel Adams Library
inez.weimann15@icloud.com;Inez Weimann;1-388-949-4117;1095 Loraine Mountains Suite 256, Montreal, QC, H6A3G8;MTRF;Eastern Prince Edward Island University;Dali Library
kasey.macejkovic30@outlook.com;Kasey Macejkovic;541-392-4541;970 Windler Land Apt. 266, Montreal, QC, H6R9E1;MTWR;The Vandervort Academy;Rothko Library
mike.harber70@mail.com;Mike Harber;721-419-8569;5450 Cedric Course Apt. 638, Montreal, QC, H1W8Y0;TWF;The Parisian;Chagall Library
dovie.quigley73@gmail.com;Dovie Quigley;218-810-7440;884 Zack Plain Apt. 115, Montreal, QC, H1C3K5;MWF;East Boehm Academy;Raphael Library
lorean.lehner93@gmail.com;Lorean Lehner;306-536-1139;046 Mirian Plaza Apt. 115, Montreal, QC, H2Y1F3;MWF;West Legros;Warhol Library
ahmad.hoppe24@gmail.com;Ahmad Hoppe;509-779-4769;1293 Hand Grove Suite 102, Montreal, QC, H1W5J5;TWRF;South Quebec Institute;Botticelli Library
